,episode_number,title,season,description
0,1,Pilot,1,"
A strangely eccentric genius scientist and inventor moves into the home of his daughter and her family and begins to strongly influence his young grandson.    "
1,2,Lawnmower Dog,1,"
Rick helps Jerry out with the dog.    "
2,3,Anatomy Park,1,"
It's Christmas. Rick shrinks Morty, injecting him into a homeless man to save Anatomy Park. Jerry tries to have a Christmas free of electronic devices, but regrets his decision when his parents introduce him to their new friend.    "
3,4,M. Night Shaym-Aliens!,1,"
Rick and Morty try to get to the bottom of a mystery.    "
4,5,Meeseeks and Destroy,1,"
Rick provides the family with a solution to their problems, freeing him up to go on an adventure led by Morty.    "
5,6,Rick Potion #9,1,"
After Rick gives Morty a love potion for a school dance, things quickly spiral out of control when the serum splices with the flu - causing it to spread. Rick and Morty scramble to cure the crisis, making matters worse in the process.    "
6,7,Raising Gazorpazorp,1,"
Morty becomes a father to an alien baby, while Rick and Summer get trapped in a dangerous dimension.    "
7,8,Rixty Minutes,1,"
Rick hooks up the family's TV with interdimensional cable, allowing them to watch infinite TV from across the multiverse.    "
8,9,Something Ricked This Way Comes,1,"
Summer gets a job at a pawn shop owned by the devil. Jerry helps Morty with his science fair project.    "
9,10,Close Rick-counters of the Rick Kind,1,"
Rick, falsely blamed for Murder by the council of Ricks, begins a cross-dimensional pursuit with the authorities while attempting to prove his innocence.    "
10,11,Ricksy Business,1,"
Beth and Jerry head for an iceberg of a date leaving Rick in charge. Morty doesn't get to go on any more adventures if the house isn't in the same condition when they get back.    "
11,1,A Rickle in Time,2,"
Having restarted time, Rick, Morty and Summer are in a quantum-uncertain state of existence. An argument leads to the creation of two alternate timelines, which need to be stitched back together fast if they are to escape quantum collapse.    "
12,2,Mortynight Run,2,"
Rick and Morty try to save a gas life form while Jerry resides in a daycare made for Jerrys.    "
13,3,Auto Erotic Assimilation,2,"
Rick gets emotional. Beth and Jerry get into a fight.    "
14,4,Total Rickall,2,"
The Smith house is locked down after parasites threaten to take over the world by multiplying through flashbacks.    "
15,5,Get Schwifty,2,"
Rick and morty must aid Earth after a giant head disrupts the planet, demanding to see a hit song performed.    "
16,6,The Ricks Must Be Crazy,2,"
Rick is having trouble with his car and they have to fix it by traveling to the microverse.    "
17,7,Big Trouble in Little Sanchez,2,"
Rick joins in on some hijinks by transferring his consciousness into teenage ""Tiny Rick."" Beth and Jerry sort out their relationship.    "
18,8,Interdimensional Cable 2: Tempting Fate,2,"
Jerry is faced with the difficult decision of losing his manhood in order to save an alien leader from imminent death. Meanwhile, Rick, Morty and Summer explore the possibilities of interdimensional television.    "
19,9,Look Who's Purging Now,2,"
Rick and Morty arrive on an alien planet to fix their ship just as the day of the purge begins there, Jerry and Summer work on their father-daughter relationship, but his lack of employment keeps coming up.    "
20,10,The Wedding Squanchers,2,"
The Smith family is invited to the wedding of Rick's best friend, Birdperson. Things go south when it's discovered that the bride isn't who she says she is.    "
21,1,The Rickshank Rickdemption,3,"
Rick, still in galactic prison, puts an intricate escape plan into action. Back on Earth, which is now under federation control, Morty and Summer have an argument about their grandpa.    "
22,2,Rickmancing the Stone,3,"
With the kids dealing with their parents' divorce, Rick takes them to a Mad Max-style universe where he tries to steal a green crystal from a group of scavengers.    "
23,3,Pickle Rick,3,"
Rick turns himself into a pickle while Beth, Summer, and Morty go to family therapy.    "
24,4,Vindicators 3: The Return of Worldender,3,"
Rick and Morty are summoned by the Vindicators to stop Worldender but end up in a deathtrap conceived by Drunk Rick.    "
25,5,The Whirly Dirly Conspiracy,3,"
Rick takes Jerry on a sympathy adventure to a resort where everyone is immortal when there, and Jerry meets some old acquaintances of Rick's who want payback.    "
26,6,Rest and Ricklaxation,3,"
Following a stressful adventure, Rick and Morty go on a break to a spa where they remove their toxins, which in turn take a form of their own.    "
27,7,The Ricklantis Mixup,3,"
Whilst Rick and Morty go off to adventure in Atlantis, we take a look at how the Citadel has rebuilt itself since both Rick and Morty visited.    "
28,8,Morty's Mind Blowers,3,"
Rick reveals to Morty his ""Morty's mind blowers,"" a collection of memories Morty asked Rick to erase from his mind.    "
29,9,The ABCs of Beth,3,"
Rick brings Beth to a world he created for her when she was younger while Beth looks for a long-lost childhood friend trapped there for years.    "
30,10,The Rickchurian Mortydate,3,"
Rick and Morty are called upon by the president to kill a vicious alien in the secret tunnels under the White House.    "
31,1,Edge of Tomorty: Rick Die Rickpeat,4,"
Rick brings Morty to a planet containing crystals that show whoever is touching them all the ways they may die depending on their choices.    "
32,2,The Old Man and the Seat,4,"
Rick goes to his private bathroom to find that someone else has used it. Jerry creates an app with an unlikely alien and Morty pays the price.    "
33,3,One Crew over the Crewcoo's Morty,4,"
On a treasure-seeking expedition in an alien temple, Rick and Morty discover that a heist expert has snatched the prize from under their noses. Further twists, turns and double-crosses abound.    "
34,4,Claw and Hoarder: Special Ricktim's Morty,4,"
Morty asks Rick for a dragon and Rick finds a wizard of another dimension who makes a soul bonding contract between Morty and a dragon called Balthromaw. Meanwhile, Jerry meets a talking cat in his bedroom who wants to fly to Florida.    "
35,5,Rattlestar Ricklactica,4,"
Morty discovers a race of intelligent space snakes after suffering a potentially lethal bite. Jerry attempts to prove that he isn't completely incompetent.    "
36,6,Never Ricking Morty,4,"
An anthology episode that follows Rick and Morty on a train with people who don't like Rick. They have to find their way out but they bump into unexpected situations along the way.    "
37,7,Promortyus,4,"
Rick, Morty and Summer visit an alien civilisation, where Rick and Morty are controlled by parasites and Summer lives a luxurious lifestyle.    "
38,8,The Vat of Acid Episode,4,"
Rick & Morty go on a simple exchange as Rick tells Morty if something goes wrong jump into the same vat of acid as he does.    "
39,9,Childrick of Mort,4,"
Rick, Morty, Beth, Summer and Jerry share a galactic adventure.    "
40,10,Star Mort Rickturn of the Jerri,4,"
An adventure with an invisibility belt, but a family that disappears together, must stay together.    "
41,1,Mort Dinner Rick Andre,5,"
Rick hosts dinner for his ocean dwelling nemesis, while Morty gets the wine.    "
42,2,Mortyplicity,5,"
The Smiths suspect they're being hunted. But who's even real?    "
43,3,A Rickconvenient Mort,5,"
Morty falls in love with an ecological heroine named Planetina, and quickly has trouble with the people that created her. Rick and Summer visit planets that are about to stop existing to have crazy parties and forget their problems.    "
44,4,Rickdependence Spray,5,"
Morty has the idea to use a horse breeding mount to extract his semen, but after Rick tries to use it to create a weapon, thinking it was horse sperm, he ends up creating sperm monsters that threaten the entire country.    "
45,5,Amortycan Grickfitti,5,"
Summer and Morty steal Rick's car to impress a new kid at school. Meanwhile, Rick and Jerry have a guys' night from hell.    "
46,6,Rick & Morty's Thanksploitation Spectacular,5,"
In this Thanksgiving episode, Rick and Morty need to get a presidential pardon.    "
47,7,Gotron Jerrysis Rickvangelion,5,"
Summer enables Rick's addiction to collecting giant combining robots, and the family becomes The Family.    "
48,8,Rickternal Friendshine of the Spotless Mort,5,"
Rick attempts to save a beloved friend.    "
49,9,Forgetting Sarick Mortshall,5,"
Rick gets new sidekicks, while Morty makes a new friend.    "
50,10,Rickmurai Jack,5,"
Rick is living his best anime life. Meanwhile in the Citadel of Ricks, a long game played by one particular Morty is reaching its conclusion.    "
51,1,Episode #6.1,6,"
Plot kept under wraps.    "
