,thumbnail
0,"<img alt=""Pilot"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BNzlhNGI0MTUtOWZlNS00ZmQ2LTk2NTYtMGMwMzRmOGViZWIyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY126_UX224_AL_.jpg"" width=""224""/>"
1,"<img alt=""Lawnmower Dog"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BNzUyNmIxYzYtMTM2My00ZTZjLWFmODYtNmFmMDgyZDY4OWU4XkEyXkFqcGdeQXVyNjg0Nzk2Nzc@._V1_UX224_CR0,0,224,126_AL_.jpg"" width=""224""/>"
2,"<img alt=""Anatomy Park"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BM2I0Nzg0YTktYTc2Zi00NTk4LWI5ZDQtMmVhYjBjZmRmNGM0XkEyXkFqcGdeQXVyNjg4ODczODM@._V1_UY126_UX224_AL_.jpg"" width=""224""/>"
3,"<img alt=""M. Night Shaym-Aliens!"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BZWZmZDBjYTEtZTQyNy00NDc5LTgxMjEtZmQyNmU1N2Y1NThkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX224_CR0,0,224,126_AL_.jpg"" width=""224""/>"
4,"<img alt=""Meeseeks and Destroy"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BNGQyOWNhYzQtNTJhNy00NzFhLTkyYTgtYTM4MGI0NmYxMWJiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX224_CR0,0,224,126_AL_.jpg"" width=""224""/>"
5,"<img alt=""Rick Potion #9"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BYjg2NjhlMWQtMjgxOS00YTVlLWJjN2UtZjhmMjA2ZjMzYmMzXkEyXkFqcGdeQXVyMTMxMDE2OTU2._V1_UY126_UX224_AL_.jpg"" width=""224""/>"
6,"<img alt=""Raising Gazorpazorp"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BYmRlZTdmNTEtNmY5Ny00MTlmLTk5M2UtNGQwYzFkYzU2YWRlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX224_CR0,0,224,126_AL_.jpg"" width=""224""/>"
7,"<img alt=""Rixty Minutes"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BNzM4MmM3MjctYjE0Yy00NzVhLThkNmQtNjBhNWU2MDc1ZjNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX224_CR0,0,224,126_AL_.jpg"" width=""224""/>"
8,"<img alt=""Something Ricked This Way Comes"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BNDIzNDEwOGQtNTE5Mi00ZWM0LWJmYTQtZTk0ZTAzM2Q2ZWZkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX224_CR0,0,224,126_AL_.jpg"" width=""224""/>"
9,"<img alt=""Close Rick-counters of the Rick Kind"" class=""zero-z-index"" height=""126"" src=""https://m.media-amazon.com/images/M/MV5BZWRhYzZhZjMtMjQxMi00OWVkLWEzNjItMjE3ZmZjM2QwZWU2L2ltYWdlXkEyXkFqcGdeQXVyNDk3OTIwNTU@._V1_UY126_CR0,0,224,126_AL_.jpg"" width=""224""/>"
